Marker1-X,Marker1-Y,Marker1-Z,Marker2-X,Marker2-Y,Marker2-Z,Marker3-X,Marker3-Y,Marker3-Z,Marker4-X,Marker4-Y,Marker4-Z,R-A1-X,R-A1-Y,R-A1-Z,R-A2-X,R-A2-Y,R-A2-Z,R-A3-X,R-A3-Y,R-A3-Z,R-B1-X,R-B1-Y,R-B1-Z,R-B2-X,R-B2-Y,R-B2-Z,R-B3-X,R-B3-Y,R-B3-Z,R-C1-X,R-C1-Y,R-C1-Z,R-C2-X,R-C2-Y,R-C2-Z,R-C3-X,R-C3-Y,R-C3-Z,R-D1-X,R-D1-Y,R-D1-Z,R-D2-X,R-D2-Y,R-D2-Z,R-D3-X,R-D3-Y,R-D3-Z,R-E1-X,R-E1-Y,R-E1-Z,R-E2-X,R-E2-Y,R-E2-Z,R-E3-X,R-E3-Y,R-E3-Z,R-Wan-nei-X,R-Wan-nei-Y,R-Wan-nei-Z,R-Wan-1-X,R-Wan-1-Y,R-Wan-1-Z,R-Wan-2-X,R-Wan-2-Y,R-Wan-2-Z,R-Wan-wai-X,R-Wan-wai-Y,R-Wan-wai-Z
215.822296,144.950546,753.241028,193.164932,133.327011,665.394531,226.781128,-394.310089,775.880066,238.289001,-356.127014,829.043884,179.970947,180.195689,693.629659,184.429886,208.451935,716.352051,189.926005,240.426437,731.115885,190.907654,190.867701,673.240092,163.828461,178.763448,668.770081,137.372177,202.451365,685.443644,190.267812,201.230321,662.002645,163.347682,186.546132,644.867554,133.09877,216.690043,655.916667,nan,nan,nan,150.582036,202.817093,629.529195,128.968831,235.498428,647.087118,160.617416,219.275075,603.88326,141.57193,238.529541,611.697123,141.733185,260.865641,636.003927,183.321198,281.669067,739.484782,146.951304,261.980662,711.993062,154.980148,292.257192,692.872701,179.753362,324.421254,686.957947
215.858398,144.896408,753.226501,193.167343,133.293777,665.373779,226.852203,-394.344299,775.805237,238.368164,-356.195953,828.96814,179.915848,180.158218,693.693115,184.388957,208.412262,716.388916,189.899409,240.412099,731.137533,190.825765,190.833501,673.273112,163.765472,178.74617,668.820068,137.32722,202.434504,685.478414,190.243759,201.236369,662.057943,163.34022,186.541626,644.90861,133.044398,216.670878,655.953267,nan,nan,nan,150.539693,202.784144,629.578898,128.923309,235.469701,647.124044,160.650767,219.26206,604.005514,141.513636,238.456411,611.742126,141.672587,260.828522,636.027812,183.319784,281.641774,739.494507,146.909953,261.958089,712.025899,154.941569,292.235331,692.901632,179.518865,324.359762,687.074483
215.889038,144.867249,753.225464,193.144516,133.233887,665.384705,226.894394,-394.386444,775.728149,238.436569,-356.232269,828.880066,179.894165,180.136408,693.744731,184.38297,208.390167,716.415324,189.882319,240.391785,731.156413,190.79071,190.804209,673.305115,163.73762,178.727951,668.824443,137.293874,202.411835,685.507365,190.233754,201.262034,662.13505,163.353892,186.531509,644.971171,133.008204,216.630519,655.989339,nan,nan,nan,150.55542,202.752558,629.63088,128.890477,235.427424,647.131775,160.679738,219.239619,604.100199,141.487925,238.401586,611.782593,141.628108,260.795837,636.049093,183.310547,281.629405,739.500509,146.887395,261.934041,712.056539,154.917363,292.211304,692.917297,179.473002,324.329966,687.106832
215.833313,144.805481,753.213318,193.151993,133.192261,665.394165,226.950562,-394.452454,775.674133,238.430771,-356.286774,828.815552,179.889791,180.097829,693.794942,184.388616,208.367386,716.431559,189.887543,240.384226,731.157959,190.840515,190.818949,673.341939,163.745687,178.710078,668.825378,137.29331,202.39356,685.513916,190.258255,201.306442,662.190023,163.447708,186.546158,644.995097,133.030024,216.586756,655.996643,nan,nan,nan,150.640411,202.736104,629.66862,128.893163,235.372075,647.128092,160.724747,219.197657,604.178528,141.503743,238.358887,611.805908,141.619385,260.769094,636.062032,183.292033,281.61026,739.511861,146.863592,261.901204,712.073649,154.880671,292.178243,692.950928,179.397659,324.286926,687.152486
215.831375,144.730042,753.207886,193.128113,133.167465,665.35553,226.962448,-394.49054,775.602417,238.473053,-356.3237,828.734497,179.930827,180.044398,693.815898,184.399597,208.344371,716.447632,189.893941,240.371109,731.14624,190.911102,190.802231,673.404358,163.792775,178.684362,668.805664,137.319819,202.363942,685.48999,190.312581,201.349716,662.246887,163.558355,186.547312,645.005656,133.0979,216.528214,655.981893,nan,nan,nan,150.769231,202.721995,629.668701,128.936213,235.300588,647.093201,160.805562,219.172358,604.221985,141.56781,238.321706,611.806946,141.613963,260.719899,636.064982,183.264114,281.588481,739.527812,146.870962,261.855438,712.070129,154.843318,292.14385,692.968831,179.350138,324.271983,687.195089
215.78157,144.679535,753.212158,193.128525,133.139633,665.362793,226.962738,-394.53656,775.558533,238.453247,-356.384033,828.6875,180.001587,179.992828,693.815328,184.434285,208.329442,716.451213,189.897583,240.361079,731.115397,191.002828,191.018656,673.463603,163.899053,178.669032,668.770589,137.375173,202.317134,685.43394,190.385442,201.427139,662.281433,163.692327,186.571574,644.992655,133.195216,216.483124,655.933797,nan,nan,nan,150.896556,202.702576,629.641886,128.995372,235.238174,647.052205,160.945368,219.179596,604.245565,141.634781,238.259181,611.793294,141.646179,260.664113,636.055745,183.234329,281.542399,739.52535,146.86732,261.806224,712.042603,154.824051,292.114085,692.962301,179.334717,324.253164,687.204651
215.757004,144.625854,753.211182,193.10466,133.122833,665.365479,226.92157,-394.558228,775.500305,238.425537,-356.406097,828.652771,180.078257,179.93099,693.818217,184.560308,208.372574,716.439331,189.90153,240.322067,731.092773,191.089355,191.234365,673.480184,164.018082,178.673035,668.707581,137.433431,202.261795,685.359945,190.450846,201.465769,662.29893,163.811727,186.57371,644.976705,133.261017,216.426915,655.891805,nan,nan,nan,151.000381,202.68513,629.588643,129.048838,235.174164,647.005046,161.105876,219.169449,604.258626,141.706955,238.183929,611.778239,141.670537,260.604421,636.025696,183.204849,281.482595,739.524007,146.866038,261.743479,712.016195,154.817134,292.063975,692.947184,179.306229,324.234192,687.207804
215.734177,144.596817,753.165588,193.070984,133.078278,665.348938,226.883987,-394.581909,775.432312,238.366547,-356.460999,828.583618,180.138382,179.883733,693.793294,184.682404,208.385076,716.399089,189.88147,240.26679,731.077535,191.141963,191.427358,673.46344,164.110163,178.675217,668.644572,137.484121,202.206212,685.284973,190.475566,201.46225,662.282593,163.891785,186.548406,644.933655,133.288528,216.373983,655.865011,nan,nan,nan,151.043803,202.65534,629.544739,129.064026,235.127014,646.973816,161.206289,219.129613,604.283854,141.756892,238.128759,611.765645,141.682948,260.561544,636.016744,183.178309,281.430379,739.514587,146.863546,261.670278,711.999756,154.806274,292.019847,692.936218,179.271617,324.185771,687.190328
215.665146,144.517197,753.174133,193.0681,133.060104,665.309265,226.814514,-394.630585,775.378662,238.290604,-356.534912,828.534302,180.148473,179.836019,693.762126,184.752914,208.399251,716.34434,189.862228,240.201426,731.063578,191.152013,191.381673,673.417989,164.143712,178.680044,668.571818,137.499725,202.180435,685.215088,190.48349,201.437907,662.220357,163.929331,186.510361,644.881775,133.274038,216.327057,655.847799,nan,nan,nan,151.040085,202.636414,629.503743,129.053238,235.084274,646.948812,161.276103,219.076543,604.332967,141.777318,238.083135,611.75238,141.647288,260.519145,636.018453,183.149155,281.373413,739.526062,146.856984,261.590942,711.986471,154.789963,291.964539,692.937826,179.375092,324.161458,687.123494
215.637665,144.513351,753.175781,193.054382,133.041672,665.300964,226.771042,-394.658478,775.310913,238.205582,-356.581238,828.483765,180.115341,179.799169,693.723979,184.625656,208.277257,716.283875,189.803004,240.157155,731.05717,191.115901,191.319255,673.366394,164.105184,178.864192,668.581116,137.486557,202.128153,685.188456,190.446803,201.394541,662.182719,163.884837,186.471898,644.836995,133.248647,216.289317,655.832174,nan,nan,nan,150.99467,202.613953,629.473531,129.016332,235.055893,646.947347,161.334437,219.063482,604.377604,141.766596,238.055639,611.747681,141.605113,260.482605,636.023153,183.115148,281.319814,739.521077,146.841741,261.519063,711.98641,154.758718,291.935343,692.938334,179.499741,324.150452,687.077413
